SRR11181954,BALF_C141
SRR11181955,BALF_C142
SRR11181956,BALF_C143
SRR11181957,BALF_C144
SRR11181958,BALF_C145
SRR11181959,BALF_C146
SRR11537946,C51
SRR11537947,C52
SRR11537948,C100
SRR11537949,C148
SRR11537950,C149
SRR11537951,C152
